starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:43 2024	1726731823	5	23	29	22
Thu Sep 19 12:43:43 2024	1726731823	15	14	29	10
Thu Sep 19 12:43:43 2024	1726731823	14	15	29	13
Thu Sep 19 12:43:43 2024	1726731823	6	23	29	22
Thu Sep 19 12:43:43 2024	1726731823	14	15	29	13
Thu Sep 19 12:43:42 2024	1726731822	9	20	29	20
Thu Sep 19 12:43:43 2024	1726731823	14	15	29	13
Thu Sep 19 12:43:43 2024	1726731823	12	18	29	13
Thu Sep 19 12:43:42 2024	1726731822	9	20	29	20
Thu Sep 19 12:43:42 2024	1726731822	9	20	29	20
Thu Sep 19 12:43:42 2024	1726731822	9	21	29	20
Thu Sep 19 12:43:42 2024	1726731822	9	21	29	20
Thu Sep 19 12:43:42 2024	1726731822	9	21	29	20
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	13
Thu Sep 19 12:43:43 2024	1726731823	6	24	30	22
Thu Sep 19 12:43:42 2024	1726731822	9	21	30	20
Thu Sep 19 12:43:43 2024	1726731823	10	19	30	15
Thu Sep 19 12:43:42 2024	1726731822	9	21	30	20
Thu Sep 19 12:43:42 2024	1726731822	9	21	30	20
Thu Sep 19 12:43:43 2024	1726731823	10	20	30	13
Thu Sep 19 12:43:43 2024	1726731823	12	18	30	13
Thu Sep 19 12:43:43 2024	1726731823	16	13	30	5
Thu Sep 19 12:43:43 2024	1726731823	17	13	30	7
Thu Sep 19 12:43:43 2024	1726731823	8	22	30	17
Thu Sep 19 12:43:43 2024	1726731823	8	22	30	17
Thu Sep 19 12:43:43 2024	1726731823	8	22	30	17
Thu Sep 19 12:43:43 2024	1726731823	8	22	30	17
Thu Sep 19 12:43:43 2024	1726731823	16	14	30	10
Thu Sep 19 12:43:43 2024	1726731823	11	19	30	18
Thu Sep 19 12:43:43 2024	1726731823	15	14	30	11
Thu Sep 19 12:43:43 2024	1726731823	7	22	30	17
Thu Sep 19 12:43:43 2024	1726731823	12	18	30	13
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	15
Thu Sep 19 12:43:43 2024	1726731823	11	19	30	18
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	15
Thu Sep 19 12:43:43 2024	1726731823	8	22	30	16
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	13
Thu Sep 19 12:43:43 2024	1726731823	12	18	30	13
Thu Sep 19 12:43:43 2024	1726731823	11	19	30	18
Thu Sep 19 12:43:43 2024	1726731823	10	20	30	13
Thu Sep 19 12:43:43 2024	1726731823	8	23	30	16
Thu Sep 19 12:43:43 2024	1726731823	10	20	30	13
Thu Sep 19 12:43:43 2024	1726731823	6	24	30	18
Thu Sep 19 12:43:43 2024	1726731823	12	18	30	13
Thu Sep 19 12:43:43 2024	1726731823	7	23	30	20
Thu Sep 19 12:43:43 2024	1726731823	8	23	30	16
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	13
Thu Sep 19 12:43:43 2024	1726731823	7	24	30	18
Thu Sep 19 12:43:43 2024	1726731823	8	23	30	16
Thu Sep 19 12:43:43 2024	1726731823	13	17	30	17
Thu Sep 19 12:43:43 2024	1726731823	7	23	30	20
Thu Sep 19 12:43:43 2024	1726731823	16	14	30	7
Thu Sep 19 12:43:43 2024	1726731823	15	15	30	13
Thu Sep 19 12:43:43 2024	1726731823	7	24	31	18
Thu Sep 19 12:43:43 2024	1726731823	15	16	31	15
Thu Sep 19 12:43:43 2024	1726731823	12	18	31	14
Thu Sep 19 12:43:43 2024	1726731823	8	23	31	16
Thu Sep 19 12:43:43 2024	1726731823	7	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	15	16	31	15
Thu Sep 19 12:43:42 2024	1726731822	12	19	31	3
Thu Sep 19 12:43:43 2024	1726731823	7	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	13	17	31	17
Thu Sep 19 12:43:43 2024	1726731823	15	15	31	13
Thu Sep 19 12:43:43 2024	1726731823	16	15	31	14
Thu Sep 19 12:43:43 2024	1726731823	8	23	31	16
Thu Sep 19 12:43:43 2024	1726731823	7	24	31	18
Thu Sep 19 12:43:43 2024	1726731823	7	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	12	18	31	14
Thu Sep 19 12:43:43 2024	1726731823	14	16	31	9
Thu Sep 19 12:43:42 2024	1726731822	12	19	31	10
Thu Sep 19 12:43:43 2024	1726731823	7	24	31	18
Thu Sep 19 12:43:43 2024	1726731823	7	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	6	24	31	22
Thu Sep 19 12:43:43 2024	1726731823	13	18	31	14
Thu Sep 19 12:43:43 2024	1726731823	7	24	31	21
Thu Sep 19 12:43:43 2024	1726731823	8	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	10	21	31	13
Thu Sep 19 12:43:43 2024	1726731823	13	18	31	14
Thu Sep 19 12:43:43 2024	1726731823	16	15	31	14
Thu Sep 19 12:43:43 2024	1726731823	10	21	31	13
Thu Sep 19 12:43:43 2024	1726731823	15	16	31	13
Thu Sep 19 12:43:43 2024	1726731823	8	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	7	24	31	21
Thu Sep 19 12:43:43 2024	1726731823	16	15	31	14
Thu Sep 19 12:43:42 2024	1726731822	6	25	31	25
Thu Sep 19 12:43:43 2024	1726731823	9	22	31	13
Thu Sep 19 12:43:43 2024	1726731823	13	18	31	14
Thu Sep 19 12:43:42 2024	1726731822	6	25	31	25
Thu Sep 19 12:43:43 2024	1726731823	13	18	31	14
Thu Sep 19 12:43:43 2024	1726731823	1	31	31	19
Thu Sep 19 12:43:43 2024	1726731823	8	23	31	20
Thu Sep 19 12:43:43 2024	1726731823	10	22	31	13
Thu Sep 19 12:43:42 2024	1726731822	6	25	31	25
Thu Sep 19 12:43:43 2024	1726731823	7	24	32	15
Thu Sep 19 12:43:43 2024	1726731823	8	24	32	20
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	14
Thu Sep 19 12:43:43 2024	1726731823	7	24	32	17
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	11
Thu Sep 19 12:43:42 2024	1726731822	6	25	32	25
Thu Sep 19 12:43:43 2024	1726731823	8	24	32	20
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	13
Thu Sep 19 12:43:43 2024	1726731823	1	31	32	19
Thu Sep 19 12:43:43 2024	1726731823	7	25	32	15
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	14
Thu Sep 19 12:43:42 2024	1726731822	6	26	32	25
Thu Sep 19 12:43:43 2024	1726731823	10	21	32	14
Thu Sep 19 12:43:43 2024	1726731823	7	25	32	15
Thu Sep 19 12:43:43 2024	1726731823	8	23	32	16
Thu Sep 19 12:43:43 2024	1726731823	13	19	32	16
Thu Sep 19 12:43:43 2024	1726731823	10	22	32	13
Thu Sep 19 12:43:42 2024	1726731822	6	26	32	25
Thu Sep 19 12:43:43 2024	1726731823	9	23	32	16
