starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	8
Thu Sep 19 12:43:20 2024	1726731800	6	8	14	7
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	7
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	8
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	7
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	9
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	8
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	4	10	14	4
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	8
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	9
Thu Sep 19 12:43:20 2024	1726731800	7	7	14	7
Thu Sep 19 12:43:20 2024	1726731800	1	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	1	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	1	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	1	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	3	11	14	9
Thu Sep 19 12:43:20 2024	1726731800	4	10	14	4
Thu Sep 19 12:43:20 2024	1726731800	6	8	14	7
Thu Sep 19 12:43:20 2024	1726731800	1	13	14	10
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	4	10	14	9
Thu Sep 19 12:43:20 2024	1726731800	1	13	14	10
Thu Sep 19 12:43:20 2024	1726731800	5	10	14	6
Thu Sep 19 12:43:20 2024	1726731800	3	12	14	9
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	10
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	14
Thu Sep 19 12:43:20 2024	1726731800	0	14	14	14
Thu Sep 19 12:43:20 2024	1726731800	6	8	14	7
Thu Sep 19 12:43:20 2024	1726731800	4	10	14	6
Thu Sep 19 12:43:20 2024	1726731800	3	12	14	11
Thu Sep 19 12:43:20 2024	1726731800	4	11	14	9
Thu Sep 19 12:43:20 2024	1726731800	2	13	14	10
Thu Sep 19 12:43:20 2024	1726731800	1	13	14	10
Thu Sep 19 12:43:20 2024	1726731800	4	10	15	10
Thu Sep 19 12:43:20 2024	1726731800	3	12	15	9
Thu Sep 19 12:43:20 2024	1726731800	1	13	15	10
Thu Sep 19 12:43:20 2024	1726731800	1	13	15	10
Thu Sep 19 12:43:20 2024	1726731800	10	5	15	4
Thu Sep 19 12:43:20 2024	1726731800	0	14	15	10
Thu Sep 19 12:43:20 2024	1726731800	1	13	15	10
Thu Sep 19 12:43:20 2024	1726731800	4	10	15	7
Thu Sep 19 12:43:20 2024	1726731800	1	13	15	10
Thu Sep 19 12:43:20 2024	1726731800	1	13	15	10
Thu Sep 19 12:43:20 2024	1726731800	3	12	15	9
Thu Sep 19 12:43:20 2024	1726731800	4	10	15	9
Thu Sep 19 12:43:20 2024	1726731800	4	10	15	9
Thu Sep 19 12:43:20 2024	1726731800	6	8	15	7
Thu Sep 19 12:43:20 2024	1726731800	5	10	15	7
Thu Sep 19 12:43:20 2024	1726731800	10	5	15	4
Thu Sep 19 12:43:20 2024	1726731800	3	12	15	9
Thu Sep 19 12:43:20 2024	1726731800	0	15	15	10
Thu Sep 19 12:43:20 2024	1726731800	6	8	15	7
Thu Sep 19 12:43:20 2024	1726731800	2	12	15	12
Thu Sep 19 12:43:20 2024	1726731800	5	10	15	7
Thu Sep 19 12:43:20 2024	1726731800	2	13	15	11
Thu Sep 19 12:43:20 2024	1726731800	10	5	15	4
Thu Sep 19 12:43:20 2024	1726731800	5	10	15	9
Thu Sep 19 12:43:20 2024	1726731800	11	4	15	4
Thu Sep 19 12:43:20 2024	1726731800	4	11	15	9
Thu Sep 19 12:43:20 2024	1726731800	7	9	15	7
Thu Sep 19 12:43:20 2024	1726731800	5	11	15	10
Thu Sep 19 12:43:20 2024	1726731800	5	11	15	9
